aggregator,bundle_path,confusion_matrix_csv,file_acc@1,file_acc@5,file_confusion_matrix_path,file_macro_f1,file_macro_precision,file_macro_recall,file_per_category_accuracy_path,file_predictions_path,file_summary_metrics_path,g,model_family,per_category_accuracy_csv,per_file_predictions_csv,run_id,stride,summary_json,ticket_stage,track,view_mode,window_acc@1,window_acc@5,window_macro_f1,window_size
mean_logits,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/confusion_matrix.csv,66.0,98.0,,59.133333333333326,,,,,,25,transformer,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/per_file_predictions.csv,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,54.18326693227091,88.44621513944223,50.429012333660005,100
mean_probabilities,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/confusion_matrix.csv,66.0,94.0,,58.733333333333334,,,,,,25,transformer,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/per_file_predictions.csv,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,54.18326693227091,88.44621513944223,50.429012333660005,100
majority_vote,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/confusion_matrix.csv,64.0,88.0,,55.46666666666666,,,,,,25,transformer,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/per_file_predictions.csv,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,54.18326693227091,88.44621513944223,50.429012333660005,100
mean_logits,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/confusion_matrix.csv,64.0,94.0,,58.8,,,,,,25,cnn,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/per_file_predictions.csv,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_logits/summary_metrics.json,t08,exact-upstream,diff,55.57768924302788,87.05179282868527,53.893721758511084,100
mean_probabilities,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/confusion_matrix.csv,66.0,94.0,,59.90476190476189,,,,,,25,cnn,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/per_file_predictions.csv,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/mean_probabilities/summary_metrics.json,t08,exact-upstream,diff,55.57768924302788,87.05179282868527,53.893721758511084,100
majority_vote,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/confusion_matrix.csv,66.0,92.0,,59.66666666666666,,,,,,25,cnn,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/per_file_predictions.csv,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,55.57768924302788,87.05179282868527,53.893721758511084,100
mean_logits,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/confusion_matrix.csv,70.0,94.0,,64.0,,,,,,25,inception,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/per_file_predictions.csv,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_logits/summary_metrics.json,t10b,research-extension,diff,51.39442231075697,87.84860557768924,49.36946294378056,100
mean_probabilities,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/confusion_matrix.csv,72.0,94.0,,65.33333333333333,,,,,,25,inception,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/per_file_predictions.csv,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/mean_probabilities/summary_metrics.json,t10b,research-extension,diff,51.39442231075697,87.84860557768924,49.36946294378056,100
majority_vote,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/window_predictions.npz,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/confusion_matrix.csv,70.0,94.0,,62.9047619047619,,,,,,25,inception,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/per_file_predictions.csv,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66/majority_vote/summary_metrics.json,t10b,research-extension,diff,51.39442231075697,87.84860557768924,49.36946294378056,100
mean_logits,,,80.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/confusion_matrix.csv,75.33333333333333,73.33333333333334,80.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01_cnn_all12_diff_fileagg-20260401-180808-e777df14/file_level/mean_logits/summary_metrics.json,25,cnn,,,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,,,moonshot-enhanced-setting,diff_all12,67.13147410358566,94.62151394422311,66.17478151382247,100
